Fecha;Arbitro;Local;Visita;GL;GV;PL;PV;RemL;RemV;RpL;RpV;RfL;RfV;RbL;RbV;CL;CV;OffL;OffV;ArqL;ArqV;FL;FV;RL;RV;AL;AV;TpL;TpV;BkL;BkV;AtaqL;AtaqV;DAtaqL;DAtaqV
14.08.2021 13:15;Garay Evia L. (Per);Ayacucho;Universitario;1;1;51%;49%;17;11;4;2;8;6;5;3;3;7;1;3;1;3;24;19;0;0;2;1;377;374;17;13;140;127;101;90
14.08.2021 11:00;Espinoza M. (Per);Sporting Cristal;César Vallejo;0;1;62%;38%;21;6;5;3;10;3;6;0;19;0;5;3;2;5;12;25;1;0;4;5;401;264;21;23;142;86;142;40
13.08.2021 15:30;Menendez A. (Per);Carlos Mannucci;Binacional;3;1;33%;67%;12;21;5;7;5;9;2;5;5;7;1;2;6;2;15;9;0;0;3;4;233;476;19;15;90;139;59;107
13.08.2021 13:15;-;Alianza Atl.;Melgar;3;3;44%;56%;7;10;4;5;2;3;1;2;5;1;2;1;2;1;13;18;0;1;2;2;280;372;14;13;114;104;73;75
13.08.2021 11:00;Legario F. (Per);UTC;Cusco;2;1;37%;63%;18;18;7;7;8;9;3;2;2;3;4;2;6;5;20;9;0;0;3;1;256;423;16;12;109;121;89;84
09.08.2021 15:30;Garay L. (Per);Melgar;Alianza Huánuco;3;0;48%;52%;20;4;6;0;12;1;2;3;4;2;1;0;0;3;16;20;0;0;3;2;409;451;20;17;87;87;59;42
09.08.2021 13:15;Alarcon J. (Per);Universitario;Cienciano;3;1;53%;47%;16;16;8;6;4;5;4;5;5;1;4;3;5;5;17;18;0;0;5;1;351;319;11;22;93;88;68;65
08.08.2021 15:30;Quiroz J. (Per);San Martín;Alianza Lima;0;2;56%;44%;6;11;2;4;4;5;0;2;10;7;1;3;2;2;18;13;0;0;3;1;403;310;25;13;103;97;67;56
08.08.2021 13:15;Lopez P. (Per);AD Cantolao;Sport Boys;0;2;51%;49%;15;11;1;3;9;5;5;3;5;5;2;7;1;1;11;21;0;0;1;4;363;359;18;20;98;78;70;68
08.08.2021 11:00;Menendez A. (Per);Cusco;Alianza Atl.;3;0;50%;50%;9;12;4;3;2;5;3;4;2;8;0;1;3;1;17;15;0;0;3;1;423;431;7;6;92;80;37;70
07.08.2021 15:30;Perez R. B. (Per);César Vallejo;Carlos Mannucci;0;1;61%;39%;13;4;2;2;6;1;5;1;8;3;0;3;1;2;14;10;1;1;3;5;589;376;20;22;123;92;70;43
07.08.2021 13:15;-;Binacional;UTC;1;0;45%;55%;9;11;2;2;5;5;2;4;5;5;5;2;2;1;18;15;0;0;2;2;315;362;23;12;82;127;40;68
06.08.2021 15:30;Legario F. (Per);Sport Huancayo;Sporting Cristal;1;2;48%;52%;17;10;4;4;8;4;5;2;1;4;0;3;2;3;18;14;0;0;2;3;447;501;13;16;97;111;38;50
06.08.2021 11:00;Espinoza M. (Per);Dep. Municipal;Ayacucho;0;1;54%;46%;12;20;2;7;6;8;4;5;5;7;2;2;6;2;17;15;0;0;3;1;329;278;11;10;83;97;35;43
04.08.2021 19:30;-;Alianza Lima;AD Cantolao;2;1;46%;54%;16;14;7;6;8;2;1;6;6;4;5;0;5;5;28;18;0;0;2;3;344;415;18;16;89;104;34;23
04.08.2021 17:00;Quiroz J. (Per);Alianza Huánuco;Sport Boys;2;0;43%;57%;9;29;5;7;3;12;1;10;2;13;0;5;7;3;18;15;0;0;1;2;371;459;21;9;81;119;28;77
04.08.2021 14:30;Ordonez E. (Per);Melgar;Cusco;2;2;59%;41%;17;10;5;4;8;4;4;2;5;4;3;1;2;3;17;26;0;0;4;2;449;315;11;23;124;86;61;33
04.08.2021 12:00;Alarcon J. (Per);Alianza Atl.;Binacional;0;3;52%;48%;7;18;1;7;3;6;3;5;4;5;1;5;4;1;13;24;0;0;2;1;404;371;16;12;97;94;34;50
03.08.2021 19:30;Perez R. B. (Per);Sporting Cristal;Universitario;2;2;46%;54%;11;9;4;3;5;5;2;1;1;1;1;1;1;2;17;18;0;0;1;3;390;455;21;18;71;89;28;34
03.08.2021 15:30;Cartagena J. (Per);Carlos Mannucci;Sport Huancayo;1;1;43%;57%;6;12;4;3;1;4;1;5;6;5;1;5;2;3;19;18;1;0;3;5;363;464;10;6;76;106;33;48
03.08.2021 13:00;Espinoza M. (Per);UTC;César Vallejo;0;0;37%;63%;14;6;1;2;7;4;6;0;5;5;2;1;2;1;19;19;0;0;1;1;297;513;19;8;92;103;39;31
02.08.2021 19:30;Palomino M. (Per);Cienciano;Dep. Municipal;2;3;64%;36%;16;11;6;6;7;4;3;1;9;3;6;0;3;4;13;17;0;1;2;2;495;290;15;15;111;76;55;24
02.08.2021 17:00;Legario F. (Per);Ayacucho;San Martín;1;0;44%;56%;19;9;8;3;9;6;2;0;8;5;1;1;3;7;16;15;0;0;1;3;355;468;24;13;90;106;39;34
